round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.19,1043.4
2,0.1,2.3877360385894777,5,20,1.0,0,0.1,1040.13
3,0.1,2.328782663345337,5,20,1.0,0,0.12,1040.55
4,0.1,2.3567556182861327,5,20,1.0,0,0.13,1048.12
5,0.1576,2.389041230773926,5,20,1.0,0,0.12,1042.89
6,0.2018,2.2548630920410155,5,20,0.2874,0,0.92,1041.6
7,0.1841,2.2449830173492433,5,20,0.2582,0,0.31,1067.27
8,0.2046,2.1698227157592775,5,20,0.2298,0,0.62,1061.18
9,0.1551,2.263084501647949,5,20,0.2013,0,0.78,1052.38
10,0.1871,2.3115781131744386,5,20,0.1963,0,0.77,1052.57
11,0.2345,2.0850435493469237,5,20,0.1927,0,1.03,1064.77
12,0.2518,1.9259843709945679,5,20,0.1897,0,1.0,1063.5
13,0.2764,1.8939570449829102,5,20,0.1864,0,0.82,1052.09
14,0.27,1.8645151996612548,5,20,0.1829,0,0.85,1063.3
15,0.3198,1.7885496044158935,5,20,0.1803,0,0.97,1070.6
