round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,84,True,1.012366,0.9572,none,,,False,,1,0,,,
1,96,True,0.592032,-0.0429,none,,,False,,1,0,,,
1,49,True,0.283693,-0.7765,none,,,False,,1,0,,,
1,52,True,0.792335,0.4337,none,,,False,,1,0,,,
1,68,True,0.662627,0.1251,none,,,False,,1,0,,,
1,55,True,0.628074,0.0429,none,,,False,,1,0,,,
1,73,True,0.850685,0.5725,none,,,False,,1,0,,,
1,51,True,0.258505,-0.8364,none,,,False,,1,0,,,
1,79,True,0.09856,-1.2169,none,,,False,,1,0,,,
1,50,True,0.136418,-1.1269,none,,,False,,1,0,,,
2,61,True,0.871787,1.3246,none,,,False,,2,0,,,
2,70,True,0.585142,0.0435,none,,,False,,2,0,,,
2,47,True,0.444882,-0.5833,none,,,False,,2,0,,,
2,11,True,0.569036,-0.0284,none,,,False,,2,0,,,
2,92,True,0.58176,0.0284,none,,,False,,2,0,,,
2,52,True,0.701619,0.5641,none,,,False,,2,0,,,
2,58,True,1.002638,1.9094,none,,,False,,2,0,,,
2,77,True,0.108933,-2.0847,none,,,False,,2,0,,,
2,79,True,0.392822,-0.816,none,,,False,,2,0,,,
2,57,True,0.404069,-0.7657,none,,,False,,2,0,,,
3,68,True,0.909865,2.2929,none,,,False,,3,0,,,
3,28,True,0.474911,0.2281,none,,,False,,3,0,,,
3,99,True,0.400541,-0.1249,none,,,False,,3,0,,,
3,76,True,0.6712,1.1599,none,,,False,,3,0,,,
3,4,True,0.344479,-0.3911,none,,,False,,3,0,,,
3,11,True,0.453174,0.1249,none,,,False,,3,0,,,
3,39,True,0.223341,-0.9661,none,,,False,,3,0,,,
3,98,True,0.360645,-0.3143,none,,,False,,3,0,,,
3,40,True,0.628653,0.9579,none,,,False,,3,0,,,
3,5,True,0.188622,-1.1309,none,,,False,,3,0,,,
4,26,True,0.873354,1.8477,none,,,False,,4,0,,,
4,11,True,0.291426,-1.0288,none,,,False,,4,0,,,
4,9,True,0.512026,0.0617,none,,,False,,4,0,,,
4,16,True,0.231877,-1.3231,none,,,False,,4,0,,,
4,70,True,0.629325,0.6415,none,,,False,,4,0,,,
4,81,True,0.48707,-0.0617,none,,,False,,4,0,,,
4,96,True,0.701286,0.9972,none,,,False,,4,0,,,
4,73,True,0.620181,0.5963,none,,,False,,4,0,,,
4,29,True,0.35642,-0.7075,none,,,False,,4,0,,,
4,19,True,0.410467,-0.4403,none,,,False,,4,0,,,
5,11,True,0.50735,-0.251,none,,,False,,5,0,,,
5,19,True,0.334544,-1.1833,none,,,False,,5,0,,,
5,35,True,0.683945,0.7016,none,,,False,,5,0,,,
5,99,True,0.231446,-1.7394,none,,,False,,5,0,,,
5,1,True,0.619628,0.3546,none,,,False,,5,0,,,
5,3,True,0.31127,-1.3088,none,,,False,,5,0,,,
5,45,True,0.600423,0.251,none,,,False,,5,0,,,
5,97,True,0.673891,0.6474,none,,,False,,5,0,,,
5,31,True,0.311406,-1.3081,none,,,False,,5,0,,,
5,91,True,0.671608,0.6351,none,,,False,,5,0,,,
6,58,True,0.679935,0.101,none,,,False,,6,0,0.4808,2.2629,
6,26,True,1.118426,2.2705,none,,,False,,6,0,0.3642,2.2013,
6,61,True,0.619038,-0.2003,none,,,False,,6,0,0.4808,1.6781,
6,76,True,0.439366,-1.0893,none,,,False,,6,0,0.4225,1.5135,
6,68,True,0.84728,0.929,none,,,False,,6,0,0.3771,1.4976,
6,40,True,0.68556,0.1288,none,,,False,,6,0,0.4225,1.3115,
6,0,True,0.639115,-0.101,none,,,False,,6,0,0.8,0.5,
6,2,True,0.976084,1.5662,none,,,False,,6,0,0.8,0.5,
6,6,True,0.266823,-1.943,none,,,False,,6,0,0.8,0.5,
6,7,True,0.574632,-0.42,none,,,False,,6,0,0.8,0.5,
7,26,True,0.396373,-0.7948,none,,,False,,7,0,0.2521,2.3478,
7,2,True,0.525972,0.2864,none,,,False,,7,0,0.2975,1.9198,
7,68,True,0.558067,0.5542,none,,,False,,7,0,0.225,1.3656,
7,84,True,1.014608,3.0,none,,,False,,7,0,0.5475,1.3107,
7,58,True,0.531157,0.3297,none,,,False,,7,0,0.2521,1.2939,
7,35,True,0.842585,2.9279,none,,,False,,7,0,0.3475,1.0552,
7,8,True,0.457304,-0.2864,none,,,False,,7,0,0.8,0.5,
7,10,True,0.348773,-1.1919,none,,,False,,7,0,0.8,0.5,
7,12,True,0.393066,-0.8224,none,,,False,,7,0,0.8,0.5,
7,13,True,0.444352,-0.3945,none,,,False,,7,0,0.8,0.5,
8,84,True,0.939665,1.4908,none,,,False,,8,0,0.2458,2.2673,
8,35,True,0.764573,0.6586,none,,,False,,8,0,0.2458,2.1034,
8,68,True,0.456189,-0.8073,none,,,False,,8,0,0.2003,1.4823,
8,26,True,0.464585,-0.7674,none,,,False,,8,0,0.2188,1.3578,
8,2,True,0.613974,-0.0573,none,,,False,,8,0,0.2458,1.215,
8,58,True,0.659547,0.1593,none,,,False,,8,0,0.2188,1.03,
8,14,True,0.771278,0.6904,none,,,False,,8,0,0.8,0.5,
8,15,True,0.638082,0.0573,none,,,False,,8,0,0.8,0.5,
8,17,True,0.406093,-1.0454,none,,,False,,8,0,0.8,0.5,
8,18,True,0.519043,-0.5085,none,,,False,,8,0,0.8,0.5,
9,84,True,0.909105,0.456,none,,,False,,9,0,0.2139,2.066,
9,35,True,0.711017,-0.803,none,,,False,,9,0,0.2139,1.6793,
9,14,True,0.82472,-0.0803,none,,,False,,9,0,0.2864,1.044,
9,97,True,0.751705,-0.5444,none,,,False,,9,0,0.403,1.0009,
9,91,True,0.923254,0.546,none,,,False,,9,0,0.403,0.9886,
9,73,True,0.987051,0.9515,none,,,False,,9,0,0.3965,0.8731,
9,20,True,0.292981,-3.0,none,,,False,,9,0,0.8,0.5,
9,21,True,0.849988,0.0803,none,,,False,,9,0,0.8,0.5,
9,22,True,1.097298,1.6522,none,,,False,,9,0,0.8,0.5,
9,23,True,0.701764,-0.8618,none,,,False,,9,0,0.8,0.5,
10,22,True,0.835264,0.6632,none,,,False,,10,0,0.2825,2.0058,
10,84,True,0.9611,1.2187,none,,,False,,10,0,0.1915,1.8726,
10,35,True,0.529645,-0.6857,none,,,False,,10,0,0.1915,1.1514,
10,73,True,0.727075,0.1857,none,,,False,,10,0,0.21,0.9568,
10,91,True,0.623506,-0.2715,none,,,False,,10,0,0.2371,0.8792,
10,61,True,0.777122,0.4066,none,,,False,,10,0,0.3421,0.8508,
10,24,True,1.070055,1.6996,none,,,False,,10,0,0.8,0.5,
10,25,True,0.642936,-0.1857,none,,,False,,10,0,0.8,0.5,
10,27,True,0.479309,-0.9079,none,,,False,,10,0,0.8,0.5,
10,30,True,0.451352,-1.0313,none,,,False,,10,0,0.8,0.5,
11,84,True,0.912784,1.2122,cusum,,,True,positive,11,0,0.6747,2.2593,
11,24,True,0.675582,-0.1498,none,,,False,,11,0,0.2884,2.0531,
11,22,True,0.935632,1.3434,none,,,False,,11,0,0.2339,1.4464,
11,2,True,0.71674,0.0866,none,,,False,,11,0,0.2705,0.8485,
11,40,True,0.662693,-0.2238,none,,,False,,11,0,0.3612,0.832,
11,73,True,0.819788,0.6783,none,,,False,,11,0,0.1883,0.8014,
11,52,True,0.825007,0.7082,none,,,False,,11,0,0.4884,0.7876,
