round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,10,100,1.0,0,0.23,2014.15
2,,,10,100,1.0,0,0.11,2014.15
3,,,10,100,1.0,0,0.08,2014.15
4,,,10,100,1.0,0,0.08,2014.15
5,0.1,2.352982458114624,10,100,1.0,0,0.1,2014.15
6,,,10,100,0.3394,0,1.55,2014.15
7,,,10,100,0.3275,0,1.07,2014.15
8,,,10,100,0.3159,0,1.14,2014.15
9,,,10,100,0.3044,0,1.15,2014.15
10,0.1486,2.3544321350097657,10,100,0.297,1,1.13,2014.15
11,,,10,100,0.2882,0,1.34,2014.15
12,,,10,100,0.2795,0,1.18,2014.15
13,,,10,100,0.2707,0,2.05,2014.15
14,,,10,100,0.266,1,1.25,2014.15
15,0.1,2.3747689235687255,10,100,0.2573,0,1.35,2014.15
16,,,10,100,0.2488,1,1.37,2014.15
17,,,10,100,0.2403,0,2.47,2014.15
18,,,10,100,0.2319,0,2.24,2014.15
19,,,10,100,0.2186,0,1.64,2014.15
20,0.1243,2.294734393310547,10,100,0.2067,2,1.62,2014.15
21,,,10,100,0.1933,0,1.74,2014.15
22,,,10,100,0.1871,0,1.52,2014.15
23,,,10,100,0.186,0,1.72,2014.15
24,,,10,100,0.1846,0,1.52,2014.15
25,0.1481,2.205399954223633,10,100,0.1836,0,1.66,2014.15
26,,,10,100,0.1785,0,1.92,2014.15
27,,,10,100,0.1773,0,1.51,2014.15
28,,,10,100,0.18,1,1.65,2014.15
29,,,10,100,0.1789,0,1.63,2014.15
30,0.2,2.192946962738037,10,100,0.1737,1,2.37,2014.15
31,,,10,100,0.1767,1,3.0,2014.15
32,,,10,100,0.1759,0,1.57,2014.15
33,,,10,100,0.175,0,1.58,2014.15
34,,,10,100,0.1743,0,1.57,2014.15
35,0.2092,2.0639690200805663,10,100,0.1736,1,1.6,2014.15
36,,,10,100,0.173,0,1.9,2014.15
37,,,10,100,0.1723,0,2.29,2014.15
38,,,10,100,0.1714,2,1.6,2014.15
39,,,10,100,0.1709,0,1.76,2014.15
40,0.199,2.169590744590759,10,100,0.166,0,1.59,2014.15
41,,,10,100,0.1653,0,2.84,2014.15
42,,,10,100,0.1648,1,2.94,2014.15
43,,,10,100,0.1643,0,3.07,2014.15
44,,,10,100,0.1678,1,1.67,2014.15
45,0.2577,2.0789614906311034,10,100,0.1674,1,1.61,2014.15
46,,,10,100,0.167,0,1.92,2014.15
47,,,10,100,0.1704,2,1.96,2014.15
48,,,10,100,0.1662,0,2.22,2014.15
49,,,10,100,0.1659,1,1.74,2014.15
50,0.2338,2.045422686767578,10,100,0.1655,0,1.84,2014.15
51,,,10,100,0.1652,0,1.79,2014.15
52,,,10,100,0.165,1,1.63,2014.15
53,,,10,100,0.1648,1,1.74,2014.15
54,,,10,100,0.1687,1,1.95,2014.15
55,0.2415,2.0659916275024415,10,100,0.1682,1,1.72,2014.15
56,,,10,100,0.172,2,2.58,2014.15
57,,,10,100,0.1677,0,4.04,2014.15
58,,,10,100,0.1674,0,1.78,2014.15
59,,,10,100,0.1671,3,1.96,2014.15
60,0.2541,1.9801861326217651,10,100,0.167,0,1.66,2014.15
61,,,10,100,0.1666,0,1.81,2014.15
62,,,10,100,0.1662,2,1.81,2014.15
63,,,10,100,0.166,0,1.77,2014.15
64,,,10,100,0.1658,1,1.74,2014.15
65,0.2294,2.012208998298645,10,100,0.1656,2,2.3,2014.15
66,,,10,100,0.1614,0,2.28,2014.15
67,,,10,100,0.1612,0,1.78,2014.15
68,,,10,100,0.161,2,1.79,2014.15
69,,,10,100,0.1608,1,2.32,2014.15
70,0.2831,1.9668789417266845,10,100,0.1607,0,2.69,2014.15
71,,,10,100,0.1603,0,3.18,2014.15
72,,,10,100,0.1601,2,2.4,2014.15
73,,,10,100,0.164,1,1.7,2014.15
74,,,10,100,0.1639,0,1.82,2014.15
75,0.2933,1.8895652263641358,10,100,0.1636,0,1.68,2014.15
76,,,10,100,0.1635,1,1.76,2014.15
77,,,10,100,0.1673,1,1.74,2014.15
78,,,10,100,0.1673,1,2.06,2014.15
79,,,10,100,0.1632,0,1.7,2014.15
80,0.2838,1.8565657913208007,10,100,0.1631,1,1.73,2014.15
81,,,10,100,0.171,3,1.74,2014.15
82,,,10,100,0.1709,0,1.85,2014.15
83,,,10,100,0.1709,1,1.73,2014.15
84,,,10,100,0.1708,1,2.62,2014.15
85,0.2998,1.8331461921691894,10,100,0.1707,0,2.74,2014.15
86,,,10,100,0.1706,1,1.81,2014.15
87,,,10,100,0.1665,1,1.8,2014.15
88,,,10,100,0.1664,0,1.76,2014.15
89,,,10,100,0.1664,2,2.27,2014.15
90,0.2837,1.8801067993164062,10,100,0.1662,1,1.73,2014.15
91,,,10,100,0.1621,0,1.77,2014.15
92,,,10,100,0.1619,0,1.76,2014.15
93,,,10,100,0.1618,1,1.83,2014.15
94,,,10,100,0.1615,1,1.94,2014.15
95,0.2785,1.8839754480361939,10,100,0.1613,0,1.86,2014.15
96,,,10,100,0.1611,1,2.41,2014.15
97,,,10,100,0.157,1,1.77,2014.15
98,,,10,100,0.1569,0,2.94,2014.15
99,,,10,100,0.1569,1,2.64,2014.15
100,0.286,1.8776141788482665,10,100,0.1527,0,2.69,2014.15
